key,updateMoment,step,resolutionPercentage,indicator,resolution,key:claim
tracking-log-28,2022/10/10 10:00,http://example.org?a=1&b=2,10,true,Test resolution,claim-27
tracking-log-29,2022/10/10 10:00,http://example.org?,10,true,Test resolution,claim-28
tracking-log-30,2022/10/10 10:00,http://example.org?a,10,true,Test resolution,claim-29
tracking-log-31,2022/10/10 10:00,http://example.org?a&b,10,true,Test resolution,claim-30
tracking-log-32,2022/10/10 10:00,http://example.org/,10,true,Test resolution,claim-31
tracking-log-33,2022/10/10 10:00,http://example.org/a,10,true,Test resolution,claim-32
tracking-log-34,2022/10/10 10:00,http://example.org/a/b,10,true,Test resolution,claim-33
tracking-log-35,2022/10/10 10:00,http://example.org/a/b?,10,true,Test resolution,claim-34
tracking-log-36,2022/10/10 10:00,http://example.org/a/b?a&b,10,true,Test resolution,claim-35
tracking-log-37,2022/10/10 10:00,acme@lorem-ipsum.org,10,true,Test resolution,claim-36
tracking-log-38,2022/10/10 10:00,acme:password@lorem-ipsum.org,10,true,Test resolution,claim-37
tracking-log-39,2022/10/10 10:00,a@b.e,10,true,Test resolution,claim-38
tracking-log-40,2022/10/10 10:00,a@b.es,10,true,Test resolution,claim-39
tracking-log-41,2022/10/10 10:00,a@b.esx,10,true,Test resolution,claim-40
tracking-log-42,2022/10/10 10:00,http://www.lorem-ipsum.org/dolor/sit.html#doloredf,10,true,Test resolution,claim-41
tracking-log-43,2022/10/10 10:00,http://www.lorem-ipsum.org/dolor/sit.html#doloredf,10,true,"",claim-42
tracking-log-44,2022/10/10 10:00,Test step,0,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-43
tracking-log-45,2022/10/10 10:00,Test step,0.01,true,L,claim-44
tracking-log-46,2022/10/10 10:00,Test step,100,true,Lo,claim-45
tracking-log-47,2022/10/10 10:00,Test step,99.99,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",claim-46
tracking-log-48,2022/10/10 10:00,Test step,50,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",claim-10
tracking-log-49,2022/10/10 10:00,Test step,50,true,โลเร็ม อิปซัม,claim-10
tracking-log-50,2022/10/10 10:00,Test step,50,true,لوريم إيبسوم,claim-10
tracking-log-51,2022/10/10 10:00,Test step,50,true,洛伦·伊普森,claim-10
tracking-log-52,2022/10/10 10:00,Test step,50,true,<marquee>Hacked</marquee>,claim-10
tracking-log-53,2022/10/10 10:00,Test step,50,true,<script>alert(‘Hacked!’);</script>,claim-10
tracking-log-54,2022/10/10 10:00,Test step,50,true,' or 'A' = 'A,claim-10
tracking-log-55,2022/10/10 10:00,Test step,50,true,http://lorem.com/ipsum,claim-10
tracking-log-56,2022/10/10 10:00,Test step,50,true,ftp://a,claim-10
tracking-log-57,2022/10/10 10:00,Test step,50,true,ftp://a.b,claim-10
tracking-log-58,2022/10/10 10:00,Test step,50,true,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",claim-10
tracking-log-59,2022/10/10 10:00,Test step,50,true,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",claim-10
tracking-log-60,2022/10/10 10:00,Test step,50,true,https://www.lorem-ipsum.org,claim-10
tracking-log-61,2022/10/10 10:00,Test step,50,true,ftp://www.lorem-ipsum.org,claim-10
tracking-log-62,2022/10/10 10:00,Test step,50,true,http://www.lorem-ipsum.org/dolor/sit.html,claim-10
tracking-log-63,2022/10/10 10:00,Test step,50,true,http://www.lorem-ipsum.org/dolor/sit.html#dolor,claim-10
tracking-log-64,2022/10/10 10:00,Test step,50,true,http://example.org?a=1&b=2,claim-10
tracking-log-65,2022/10/10 10:00,Test step,50,true,http://example.org?,claim-10
tracking-log-66,2022/10/10 10:00,Test step,50,true,http://example.org?a,claim-10
tracking-log-67,2022/10/10 10:00,Test step,50,true,http://example.org?a&b,claim-10
tracking-log-68,2022/10/10 10:00,Test step,50,true,http://example.org/,claim-10
tracking-log-69,2022/10/10 10:00,Test step,50,true,http://example.org/a,claim-10
tracking-log-70,2022/10/10 10:00,Test step,50,true,http://example.org/a/b,claim-10
tracking-log-71,2022/10/10 10:00,Test step,50,true,http://example.org/a/b?,claim-10
tracking-log-72,2022/10/10 10:00,Test step,50,true,http://example.org/a/b?a&b,claim-10
tracking-log-73,2022/10/10 10:00,Test step,50,true,acme@lorem-ipsum.org,claim-10
tracking-log-74,2022/10/10 10:00,Test step,50,true,acme:password@lorem-ipsum.org,claim-10
tracking-log-75,2022/10/10 10:00,Test step,50,true,a@b.e,claim-10
tracking-log-76,2022/10/10 10:00,Test step,50,true,a@b.es,claim-10
tracking-log-77,2022/10/10 10:00,Test step,50,true,a@b.esx,claim-10
tracking-log-78,2022/10/10 10:00,Test step,50,true,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,claim-10
tracking-log-79,2022/10/10 10:00,Test step,50,true,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,claim-10
